Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Region,Postal_Code,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
8,CA-2014-115812,2014-06-09,2014-06-14,"Standard Class",BH-11710,"Brosina Hoffman",Consumer,"United States","Los Angeles",California,West,90032,TEC-PH-10002275,Technology,Phones,"Mitel 5320 IP Phone VoIP phone",907.15,6,0.20,90.72
12,CA-2014-115812,2014-06-09,2014-06-14,"Standard Class",BH-11710,"Brosina Hoffman",Consumer,"United States","Los Angeles",California,West,90032,TEC-PH-10002033,Technology,Phones,"Konftel 250 Conference phone - Charcoal black",911.42,4,0.20,68.36
20,CA-2014-143336,2014-08-27,2014-09-01,"Second Class",ZD-21925,"Zuschuss Donatelli",Consumer,"United States","San Francisco",California,West,94109,TEC-PH-10001949,Technology,Phones,"Cisco SPA 501G IP Phone",213.48,3,0.20,16.01
27,CA-2016-121755,2016-01-16,2016-01-20,"Second Class",EH-13945,"Eric Hoffmann",Consumer,"United States","Los Angeles",California,West,90049,TEC-AC-10003027,Technology,Accessories,"Imation 8GB Mini TravelDrive USB 2.0 Flash Drive",90.57,3,0.00,11.77
36,CA-2016-117590,2016-12-08,2016-12-10,"First Class",GH-14485,"Gene Hale",Corporate,"United States",Richardson,Texas,Central,75080,TEC-PH-10004977,Technology,Phones,"GE 30524EE4",1097.54,7,0.20,123.47
41,CA-2015-117415,2015-12-27,2015-12-31,"Standard Class",SN-20710,"Steve Nguyen","Home Office","United States",Houston,Texas,Central,77041,TEC-PH-10000486,Technology,Phones,"Plantronics HL10 Handset Lifter",371.17,4,0.20,41.76
42,CA-2017-120999,2017-09-10,2017-09-15,"Standard Class",LC-16930,"Linda Cazamias",Corporate,"United States",Naperville,Illinois,Central,60540,TEC-PH-10004093,Technology,Phones,"Panasonic Kx-TS550",147.17,4,0.20,16.56
45,CA-2016-118255,2016-03-11,2016-03-13,"First Class",ON-18715,"Odella Nelson",Corporate,"United States",Eagan,Minnesota,Central,55122,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.00,19.77
48,CA-2016-169194,2016-06-20,2016-06-25,"Standard Class",LH-16900,"Lena Hernandez",Consumer,"United States",Dover,Delaware,East,19901,TEC-AC-10002167,Technology,Accessories,"Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",45.00,3,0.00,4.95
49,CA-2016-169194,2016-06-20,2016-06-25,"Standard Class",LH-16900,"Lena Hernandez",Consumer,"United States",Dover,Delaware,East,19901,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.80,2,0.00,6.10
55,CA-2016-105816,2016-12-11,2016-12-17,"Standard Class",JM-15265,"Janet Molinari",Corporate,"United States","New York City","New York",East,10024,TEC-PH-10002447,Technology,Phones,"AT&T CL83451 4-Handset Telephone",1029.95,5,0.00,298.69
60,CA-2016-111682,2016-06-17,2016-06-18,"First Class",TB-21055,"Ted Butterfield",Consumer,"United States",Troy,"New York",East,12180,TEC-AC-10002167,Technology,Accessories,"Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",30.00,2,0.00,3.30
63,CA-2015-135545,2015-11-24,2015-11-30,"Standard Class",KM-16720,"Kunst Miller",Consumer,"United States","Los Angeles",California,West,90004,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0.00,6.15
69,CA-2014-106376,2014-12-05,2014-12-10,"Standard Class",BS-11590,"Brendan Sweed",Corporate,"United States",Gilbert,Arizona,West,85234,TEC-PH-10002726,Technology,Phones,"netTALK DUO VoIP Telephone Service",167.97,4,0.20,62.99
87,CA-2017-155558,2017-10-26,2017-11-02,"Standard Class",PG-18895,"Paul Gonzalez",Consumer,"United States",Rochester,Minnesota,Central,55901,TEC-AC-10001998,Technology,Accessories,"Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired",19.99,1,0.00,6.80
